#1
double Q_Heater(11,2)
      0     136229
      1     136229
   10     1000
   11     1000
   3000  1000
  10500  1000
  11200  1000
  11900  1000
  36000  1000
  39600  1000
  43200  1000
  
double Q_Heater_original(11,2)
      0     136229
      1     136229
   700     182000
   2900  182000
   3000  180000
  10500  180000
  11200  88000
  11900  85000
  36000  83000
  39600  30000
  43200  1000

