#1
double Flow_New(530,2)
0	0.001187444
60.01	0.001196936
120.035	0.00121054
180.016	0.001219731
239.984	0.00118846
300.043	0.001204398
360.043	0.001182597
420.019	0.001188433
479.991	0.001190512
539.954	0.001164114
600.033	0.001198514
659.978	0.001175325
720.021	0.001196968
779.945	0.001202313
839.943	0.001208623
900.027	0.001204745
959.943	0.001194095
1020.023	0.167838334
1079.959	1.282190224
1140.027	1.344131918
1200.009	1.49278735
1259.999	1.60703445
1320.011	1.615907461
1379.996	1.649058504
1440.049	1.662897434
1499.953	1.63528416
1559.991	1.681032088
1620.005	1.704809382
1680.024	1.703364274
1740.021	1.739033258
1799.995	1.714202712
1860.008	1.724066621
1919.95	1.722484168
1980.006	1.75722466
2039.997	1.764268082
2099.948	1.781191801
2159.956	1.843081577
2219.988	1.82767623
2280.035	1.82568435
2340.017	1.810862695
2400.035	1.818073194
2459.944	1.810644979
2520.021	1.817561021
2579.942	1.844138385
2639.992	1.885753171
2699.996	1.87262737
2760.023	1.879104636
2820.033	1.857435425
2880.006	1.85272633
2939.946	1.853312682
3000.025	1.874340908
3059.947	1.849518688
3120.02	1.823439816
3179.986	1.834286832
3239.989	1.821545463
3300.038	1.835464017
3359.949	2.217255375
3420.023	2.283598182
3480.044	2.274889985
3540.001	2.258546517
3600.005	2.26183122
3660.025	2.27016207
3720.022	2.267542463
3779.991	2.277358314
3840.018	2.277795373
3900	2.263591402
3960.031	2.241008355
4019.997	2.246220735
4080.003	2.28451093
4140.005	2.276821423
4200.027	2.695376495
4259.992	2.726838684
4320.036	2.731888651
4379.994	2.700638156
4439.962	2.733402493
4500.21	2.7430545
4564.042	2.771032124
4623.999	2.705300416
4683.946	2.749581296
4743.954	2.724043537
4803.957	2.710516689
4864.01	2.667351297
4923.954	2.682714311
4984.032	2.669615298
5044.034	2.709243206
5103.989	3.022040158
5164.002	2.876028069
5223.983	2.946608463
5283.936	2.897940566
5343.967	2.913718216
5403.966	2.910586194
5466.936	2.919667089
5526.939	2.880216873
5586.941	2.862045614
5646.937	2.876714369
5707.04	2.906623915
5767.026	2.902193563
5827.021	2.910935793
5887.008	2.892126915
5947.008	2.916899981
6007.038	2.88934582
6067.035	2.856158094
6126.998	2.912463253
6186.936	2.884342859
6246.941	2.910373269
6306.939	2.923315935
6367.036	2.896671325
6427.041	2.930986935
6486.957	2.849616397
6546.937	2.884193511
6606.955	2.904226736
6666.937	2.893335514
6727.046	2.938293736
6787.031	2.896580001
6846.982	2.869033407
6907.041	2.934454497
6967.031	2.8989825
7026.938	2.919633443
7087.357	2.898410152
7147.087	2.923422997
7207.014	2.917622694
7266.978	2.898098403
7327.013	2.913874044
7387.044	2.904098895
7446.981	2.905877785
7506.945	2.924340492
7566.986	2.91576269
7630.023	2.900110909
7689.956	2.934875574
7749.998	2.887162069
7809.952	2.667670218
7870.023	2.911050132
7929.945	2.881875517
7989.938	2.606205452
8050.028	1.934147768
8109.984	1.652910502
8170.016	0.946439792
